Dia,Cuartel,cosecha
Dia 13,-> 55.0,106.76
Dia 16,-> 1.0,74.93
Dia 16,-> 38.0,58.78
Dia 17,-> 49.0,59.36
Dia 23,-> 51.0,83.28
Dia 25,-> 31.0,42.49
Dia 25,-> 56.0,47.5
Dia 26,-> 19.0,78.3
Dia 27,-> 9.0,81.06
Dia 28,-> 44.0,38.89
Dia 29,-> 6.0,28.5
Dia 29,-> 20.0,59.76
Dia 30,-> 60.0,46.58
Dia 31,-> 40.0,37.5
Dia 32,-> 5.0,55.4
Dia 32,-> 7.0,72.17
Dia 32,-> 16.0,17.45
Dia 32,-> 17.0,3.36
Dia 32,-> 25.0,38.8
Dia 32,-> 40.0,15.85
Dia 32,-> 57.0,3.74
Dia 34,-> 14.0,3.17
Dia 34,-> 16.0,24.5
Dia 34,-> 17.0,47.5
Dia 34,-> 18.0,47.5
Dia 34,-> 57.0,53.08
Dia 35,-> 14.0,62.42
Dia 36,-> 58.0,61.88
Dia 37,-> 23.0,61.94
Dia 39,-> 3.0,39.0
Dia 39,-> 22.0,1.06
Dia 39,-> 29.0,63.89
Dia 40,-> 15.0,55.68
Dia 41,-> 42.0,46.58
Dia 41,-> 47.0,36.87
Dia 41,-> 54.0,46.06
Dia 43,-> 22.0,71.25
Dia 44,-> 2.0,5.94
Dia 44,-> 33.0,61.69
Dia 44,-> 41.0,50.31
Dia 44,-> 43.0,76.79
Dia 46,-> 11.0,41.27
Dia 47,-> 2.0,42.23
Dia 47,-> 28.0,28.5
Dia 47,-> 33.0,4.3
Dia 47,-> 53.0,52.52
Dia 48,-> 46.0,33.75
Dia 48,-> 59.0,30.1
Dia 50,-> 4.0,80.07
Dia 50,-> 52.0,46.17
Dia 51,-> 35.0,47.5
Dia 51,-> 39.0,47.5
Dia 54,-> 24.0,55.45
Dia 54,-> 37.0,47.5
Dia 56,-> 10.0,100.81
Dia 56,-> 34.0,3.56
Dia 59,-> 30.0,63.69
Dia 60,-> 34.0,71.25
Dia 61,-> 27.0,28.5
Dia 63,-> 48.0,60.59
Dia 64,-> 8.0,1.56
Dia 64,-> 21.0,41.54
Dia 64,-> 32.0,108.02
Dia 66,-> 13.0,58.13
Dia 68,-> 26.0,76.01
Dia 69,-> 8.0,28.5
Dia 69,-> 45.0,63.5
Dia 69,-> 50.0,81.31
Dia 73,-> 36.0,47.5
Dia 76,-> 12.0,59.19
Dia 76,-> 36.0,5.63
