Dia,Cuartel,cosecha
Dia 13,-> 55.0,106.7598
Dia 16,-> 1.0,71.25
Dia 16,-> 38.0,58.7799
Dia 17,-> 49.0,59.3604
Dia 22,-> 56.0,54.14
Dia 23,-> 9.0,8.2502
Dia 23,-> 51.0,83.2797
Dia 25,-> 31.0,42.4896
Dia 26,-> 19.0,78.3
Dia 27,-> 9.0,71.25
Dia 28,-> 9.0,1.5597
Dia 28,-> 44.0,38.8899
Dia 29,-> 6.0,28.5
Dia 29,-> 20.0,59.76
Dia 29,-> 25.0,38.7999
Dia 29,-> 40.0,15.24
Dia 30,-> 60.0,46.58
Dia 31,-> 40.0,37.5
Dia 32,-> 5.0,55.4004
Dia 32,-> 7.0,72.1696
Dia 32,-> 17.0,3.3596
Dia 32,-> 18.0,47.5
Dia 34,-> 14.0,38.4104
Dia 34,-> 16.0,41.9499
Dia 34,-> 17.0,47.5
Dia 34,-> 57.0,56.5896
Dia 36,-> 14.0,27.1798
Dia 36,-> 23.0,61.9398
Dia 36,-> 58.0,61.8804
Dia 37,-> 15.0,55.68
Dia 39,-> 3.0,39.0
Dia 39,-> 22.0,1.0604
Dia 39,-> 29.0,63.8896
Dia 41,-> 42.0,46.5804
Dia 41,-> 43.0,10.1898
Dia 41,-> 47.0,36.8703
Dia 41,-> 54.0,46.0602
Dia 43,-> 22.0,71.2496
Dia 44,-> 33.0,58.5096
Dia 44,-> 41.0,42.23
Dia 44,-> 43.0,66.6
Dia 46,-> 2.0,48.1696
Dia 46,-> 11.0,41.2704
Dia 46,-> 41.0,8.0804
Dia 47,-> 33.0,7.48
Dia 47,-> 53.0,15.02
Dia 48,-> 46.0,33.7504
Dia 48,-> 59.0,30.1
Dia 49,-> 28.0,28.5
Dia 50,-> 4.0,80.0703
Dia 50,-> 52.0,46.17
Dia 50,-> 53.0,37.5
Dia 51,-> 35.0,47.5
Dia 51,-> 39.0,47.5
Dia 54,-> 24.0,47.5
Dia 54,-> 37.0,47.5
Dia 56,-> 10.0,95.0
Dia 58,-> 27.0,28.5
Dia 59,-> 10.0,5.8104
Dia 59,-> 30.0,63.6903
Dia 59,-> 34.0,74.8098
Dia 63,-> 48.0,60.5898
Dia 64,-> 8.0,1.56
Dia 64,-> 21.0,41.5404
Dia 64,-> 32.0,108.0198
Dia 66,-> 13.0,58.1301
Dia 68,-> 8.0,28.5
Dia 68,-> 26.0,76.0104
Dia 69,-> 45.0,63.5004
Dia 69,-> 50.0,81.3096
Dia 73,-> 36.0,47.5
Dia 76,-> 12.0,59.1903
Dia 76,-> 36.0,5.6304
